,0
10,"[Verse 1]He famous trumpet man Chicago wayHe boogie style one else could playHe top man craftBut number came up, gone draftHe's army a-blowing reveilleHe's boogie woogie bugle boy Company B[Verse 2]They made blow bugle Uncle SamIt really brought jamThe captain seemed understandBecause next day Cap' went drafted bandAnd company jumps plays reveilleHe's boogie woogie bugle boy Company B[Chorus]A toot, toot, toodlie-a-da-tootHe blows eight bar, boogie rhythmHe can't blow note unless bass guitar playing himHe makes company jump plays reveilleHe's boogie woogie bugle boy Company B[Bridge]He boogie woogie bugle boy Company BAnd plays boogie woogie bugle busy bzzz beeAnd plays makes company jump eight barHe's boogie woogie bugle boy Company BYou might also like[Chorus]Too-too-too-toot, toodlie-a-da, toodlie-a-da, toot-tootHe blows eight barHe can't blow note bass guitar himAnd company jumps plays reveilleHe's boogie woogie bugle boy Company B[Trumpet Solo][Verse 3]He puts boys sleep boogie every nightAnd wakes way early brightThey clap hands stamp feetBecause know plays someone gives beatHe really breaks plays reveilleHe's boogie woogie bugle boy Company B[Outro]Da-da, da-da, da-da, da-da, da-da, da-daDa-da, da-da, da-da, da-da, da-da, da-daAnd company jumps plays reveilleHe's boogie woogie bugle boy Company B"
11,"I'm gonna buy paper doll call ownA doll fellows cannot stealAnd flirty, flirty guys flirty, flirty eyesWill flirt dollies realWhen come home night waitingShe'll truest doll worldI'd rather paper doll call ownThan fickle-minded real live girlI guess million dolls moreI guess I've played doll game o'er o'erI quarreled Sue, that's I'm blueShe's gone away left like dolls doI'll tell boys, tough aloneAnd tough love doll that's ownI'm them, I'll never fall againSay boy, whatcha gonna do?I'm gonna buy paper doll call ownA doll fellows cannot stealAnd flirty, flirty guys flirty, flirty eyesWill flirt dollies realWhen come home night waitingShe'll truest doll worldI'd rather paper doll call ownThan fickle-minded real live girlYou might also like"
12,"Baby, baby, matter you?Baby, baby, matter you?You got world jug got nothin' doYou know always told ya, you’ll death meAnd I'm always get third degreeThat ain't right, ain’t right allAnd takin' money goin' havin' ballI took night club bought big champagneYou rolled home taxi caught subway trainThat ain't right, ain't right allAnd takin’ money goin’ havin' ballI went fortune teller fortune toldShe said, didn’t love me, wanted goldThat ain't right, ain't right allAnd takin’ money goin' havin' ballYou might also like"
13,"[Intro: Judy Garland]With high-starched collar high-top shoesAnd hair piled high upon headI went lose jolly hour trolleyAnd lost heart insteadWith light brown derby bright green tieHe quite handsomest menI started yen counted tenThen counted ten again[Verse 1: Judy Garland & MGM Studio Chorus]""Clang, clang, clang"" went trolley""Ding, ding, ding"" went bell""Zing, zing, zing"" went heartstringsFrom moment saw fell""Chug, chug, chug"" went motor""Bump, bump, bump"" went brake""Thump, thump, thump"" went heartstringsWhen smiled could feel car shake(Clang, clang, clang)[Bridge: Judy Garland]He tipped hat took seatHe said hoped stepped upon feetHe asked name, held breathI speak scared half deathYou might also like[Verse 2: Judy Garland]""Chug, chug, chug"" went motor""Flop, flop, flop"" went wheels""Stop, stop, stop"" went heartstringsAs started go started know feelsWhen universe reels[Bridge: MGM Studio Chorus]The day bright, air sweetThe smell honeysuckle charmed feetYou tried sing squeakIn fact loved even speak[Verse 3: Judy Garland & MGM Studio Chorus]""Buzz, buzz, buzz"" went buzzer (Clang, clang, clang, clang)""Flop, flop, flop"" went wheels (Clang, clang, clang, clang)""Stop, stop, stop"" went heartstringsAs started leave took hold sleeve handAnd planned, stayed meAnd grand stand hand holding mineTo end line[Outro: MGM Studio Chorus]""Clang, clang, clang"" went trolley""Clang, clang, clang"" went trolley""Zing, zing, zing, zing"" went heartAh, vroom"
14,"[Verse 1]This land land, land landFrom California New York IslandFrom Redwood Forest Gulf Stream WatersThis land made me[Verse 1]As went walking ribbon highwayI saw endless skywaySaw golden valleyThis land made me[Verse 2]I roamed rambled followed footstepsTo sparkling sands diamond desertsAll around voice soundingThis land made me[Verse 3]As sun shining, strollingAnd wheat fields waving dust clouds rollingA voice come chanting fog liftingThis land made me[Chorus]This land land, land landFrom California New York IslandFrom Redwood Forest Gulf Stream WatersThis land made meYou might also like[Verse 4]When sun comes shining strollingAnd wheat fields waving dust clouds rollingA voice come chanting fog liftingThis land made me--------------------The following verses included recording[Verse 4]As walkin' - saw sign thereAnd sign said ""No trespassin'""But side .... say nothin!Now side made me![Verse 6]In squares city - shadow steepleNear relief office - see peopleAnd grumblin' wonderin'If land's still made"
15,"Dear, evening seemed go awfully fastWe much fun home lastI look forward kiss two garden gateBut gave peck insisted lateGive five minutes more, five minutes moreLet stay, let stay armsHere I, begging five minutes moreOnly five minutes charmsAll week long dreamed Saturday dateDon't know Sunday morning sleep late?Give five minutes more, five minutes moreLet stay, let stay armsAll week long dreamed Saturday dateDon't know Sunday morning sleep late?Give five minutes more, five minutes moreLet stay, let stay armsAh, come onYou might also like"
16,"[Couplet 1]Des yeux qui font baisser les miensUn rire qui se perd sur sa boucheVoilà le portrait sans retoucheDe l'homme auquel j'appartiens[Refrain]Quand il prend dans ses brasQu'il parle tout basJe vois la vie en roseIl dit des mots d'amourDes mots de tous les joursEt ça m'fait quelque chose[Couplet 2]Il est entré dans mon cœurUne part de bonheurDont je connais la causeC'est lui pour moi, moi pour lui dans la vieIl l'a dit, l'a juré, pour la vieEt dès que je l’aperçoisAlors, je sens en moiMon cœur qui bat[Pont]Des nuits d'amour à plus finirUn grand bonheur qui prend sa placeDes ennuis, des chagrins s'effacentHeureux, heureux, à en mourirYou might also like[Refrain]Quand il prend dans ses brasQu'il parle tout basJe vois la vie en roseIl dit des mots d'amourDes mots de tous les joursEt ça m'fait quelque chose[Couplet 3]Il est entré dans mon cœurUne part de bonheurDont je connais la causeC'est toi pour moi, moi pour toi dans la vieTu l'as dit, m'as juré pour la vieEt, dès que je t’aperçoisAlors, je sens en moiMon cœur qui bat[Outro]La-la-la, la-la-laLa-la-la, la-la-laLa, la, la-la"
17,"East east west westAnd wrong one choseLet's go I'll keep wearin'Those frills flowers buttons bowsRings things buttons bowsDon't bury prairieTake cement growsLet's move big townWhere love gal cut o' clothesAnd I'll stand buttons bowsI'll love buckskinAnd skirts I've homespunBut I'll love longer, stronger whereYour friends tote gunMy bones denounce buckboard bounceAnd cactus hurts toesLet's vamoose gals keep usin'Those silks satins linen showsAnd I'm buttons bowsMy bones denounce buckboard bounceAnd cactus hurts toesLet's vamoose gals keep usin'Those silks satins linen showsAnd I'm buttons bowsYou might also like(Silks satins linen shows)(And I'm buttons bows)Gimme eastern trimmin' women womenIn high silk hose peek-a-boo clothesAnd French perfume rocks roomAnd I'm buttons bowsButtons bowsButtons bows(Frills flowers buttons bows)(Rings things buttons bows)"
18,"[EMILE]Some enchanted eveningYou may see strangerYou may see stranger across crowded roomAnd somehow knowYou'll know even thenThat somewhere see her, againSome enchanted eveningSomeone may laughin'You may hear laughin' across crowded roomAnd night nightAs strange seemsThe sound laughter sing dreamsWho explain it? tell why?Fools give reasons, wise men never trySome enchanted eveningWhen find true loveWhen feel call across crowded roomThen fly sideAnd make ownFor, life, may dream aloneOnce found her, never let goOnce found her, never let goYou might also like"
19,"[Chorus]Irene, goodnightIrene, goodnightGoodnight, IreneGoodnight, IreneI'll see dreams[Verse 1]Last Saturday night got marriedMe wife settled downNow, wife partedI'm gonna take another stroll downtown[Chorus]Irene, goodnightIrene, goodnightGoodnight, IreneGoodnight, IreneI'll see dreams[Verse 2]Sometimes live countrySometimes live townSometimes take great notionTo jump river drownYou might also like[Chorus]Irene, goodnightIrene, goodnightGoodnight, IreneGoodnight, IreneI'll see dreams[Chorus]Stop ramblin', stop gamblin'Stop staying late nightGo home wife familyStay fireside, bright[Chorus]Irene, goodnightIrene, goodnightGoodnight, IreneGoodnight, IreneI'll see dreams"
20,"[Chorus]UnforgettableThat's areUnforgettableThough near far[Verse 1]Like song love clings meHow thought things meNever someone more[Chorus]UnforgettableIn every wayAnd forevermoreThat's stay[Verse 2]That's why, darling, incredibleThat someone unforgettableThinks unforgettable, too[Instrumental Break][Chorus]UnforgettableIn every wayAnd forevermoreThat's stayYou might also like[Verse 3]That's why, darling, incredibleThat someone unforgettableThinks unforgettable,"
21,"Do, do-do-doDo, do-do-do-do, do-do-doDo-do, do-do-doDo, do-do-do-do, do-do-doDo-do, do-do-doDo, do-do-do-do, do-do-doDo, do-do-doI'm singin' rain, singin' rainWhat glorious feelin', I'm happy againI'm laughin' clouds dark aboveThe sun's heart I'm ready loveLet stormy clouds chase everyone placeCome rain, I've smile faceI walk lane happy refrainJust singin', singin' rainDancing rainI'm happy againI'm singin' dancin' rainI'm dancin' singin' rainYou might also like"
22,"[Intro: Choir](In Napoli love king)(When boy meets girl)(Here's say)[Chorus: Dean Martin]When moon hits eyeLike big pizza pie, that's amoreWhen world seems shineLike much wine, that's amore[Bridge: Dean Martin]Bells ring, ting-a-ling-a-lingTing-a-ling-a-ling sing, ""Vita bella""Hearts play tippy-tippy-tayTippy-tippy-tay like gay tarantella[Verse: Dean Martin]When stars make droolJust like pasta e fasule, that's amoreWhen dance streetWith cloud feet, loveWhen walk dreamBut know, dreaming, signoreScusami, seeBack old Napoli, that's amoreYou might also like[Chorus: (Choir) & Dean Martin](When moon hits eye)(Like big pizza pie, that's amore) That's amore(When world seems shine)(Like much wine, that's amore) That's amore[Bridge: (Choir) & Dean Martin](Bells ring ting-a-ling-a-ling)(Ting-a-ling-a-ling sing, ""Vita bella, vita bella, vita bella"")(Hearts play tippy-tippy-tay)(Tippy-tippy-tay like gay tarantella) Lucky fella[Verse: Dean Martin & Choir]When stars make droolJust like pasta e fasule, that's amore (That's amore)When dance streetWith cloud feet, loveWhen walk dreamBut know, dreaming, signoreScusami, seeBack old Napoli, that's amore[Outro: Dean Martin](Amore) That's amore"
23,"[Verse 1]Mr. Sandman, bring dreamMake cutest I've ever seenGive two lips like roses cloverThen tell lonesome nights overSandman, I'm aloneDon't nobody call ownPlease turn magic beamMr. Sandman, bring dream[Verse 2]Mr. Sandman, bring dreamMake cutest I've ever seenGive word I'm roverThen tell lonesome nights overSandman, I'm aloneDon't nobody call ownPlease turn magic beamMr. Sandman, bring dream[Verse 3]Mr. Sandman (Yes?) Bring us dreamGive pair eyes come-hither gleamGive lonely heart like PagliacciAnd lots wavy hair like LiberaceMr. Sandman, someone hold (Someone hold)Would peachy we're oldSo please turn magic beamMr Sandman, bring us, please, please, pleaseMr Sandman, bring us dreamYou might also like"
24,"[Chorus]Whop bop b-luma b-lop bam bomTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyA wop bop b-luma b-lop bam bom[Verse 1]I got girl named SueShe knows doI got girl named SueShe knows do[Bridge]She rocks east, rocks westBut girl love best[Chorus]Tutti frutti, oh rootyTutti frutti, oh rooty, whooTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyA wop bop-b-luma b-lop bam bomYou might also like[Verse 2]Got girl named DaisyShe almost drives crazyGot girl named DaisyShe almost drives crazy[Bridge]She knows love me, yes, indeedBoy, know me[Chorus]Tutti frutti, oh rootyTutti frutti, oh rooty, whooTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyWhop bop-b-luma, oww[Break][Chorus]Tutti frutti, oh rootyTutti frutti, oh rooty, whooTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyA wop bop-b-luma b-lop bam bom[Verse 3]Got girl named DaisyShe almost drives crazyGot girl named DaisyShe almost drives crazy[Bridge]She knows love me, yes, indeedBoy, know me[Chorus]Tutti frutti, oh rootyTutti frutti, oh rooty, whooTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyA wop bop-b-luma b-lop bam boom"
25,"[Chorus]You ain't nothin' hound dogCryin' timeYou ain't nothin' hound dogCryin' timeWell, ain't never caught rabbitAnd ain't friend mine[Verse]When said high-classedWell, lieYeah, said high-classedWell, lieYeah, ain't never caught rabbitAnd ain't friend mine[Chorus]You ain't nothin' hound dogCryin' timeYou ain't nothin' hound dogCryin' timeWell, ain't never caught rabbitAnd ain't friend mine[Bridge][Guitar solo]Ahh, ahhAhh, ahhYou might also like[Verse]When said high-classedWell, lieYeah, said high-classedWell, lieWell, ain't never caught rabbitAnd ain't friend mine[Bridge][Guitar solo]Ahh, ahhAhh, ahh[Verse]When said high-classedWell, lieYou know, said high-classedWell, lieYeah, ain't never caught rabbitAnd ain't friend mine[Chorus]You ain't nothin' hound dogCryin' timeYou ain't nothin' hound dogCryin' timeWell, ain't never caught rabbitYou ain't friend mine[You ain’t nothin’ hound dog]"
26,"[Verse 1]The warden threw party county jailThe prison band there, began wailThe band jumping, joint began swingYou shoulda heard locked-out jailbirds sing[Chorus]Let's rock, everybody, let's rockEverybody whole cell blockWas dancing Jailhouse Rock[Verse 2]Spider Murphy played tenor saxophoneLittle Joe blowing slide tromboneThe drummer boy Illinois went crash, boom, bangThe whole rhythm section Purple Gang[Chorus]Let's rock, everybody, let's rockEverybody whole cell blockWas dancing Jailhouse Rock[Verse 3]Number forty-seven said number three""You cutest jailbird ever seeI sure would delighted companyCome Jailhouse Rock me""You might also like[Chorus]Let's rock, everybody, let's rockEverybody whole cell blockWas dancing Jailhouse RockRock, rock, rock[Guitar Solo][Verse 4]Sad Sack sitting block stoneWay corner weeping aloneThe warden said, ""Hey, buddy, squareYou can't find partner, use wooden chair""[Chorus]Let's rock, everybody, let's rockEverybody whole cell blockWas dancing Jailhouse Rock[Verse 5]Shifty Henry said Bugs, ""For Heaven's sakeNo one's looking, now's chance make break""Bugsy turned Shifty, said, ""Nix nixI wanna stick around get kicks.""[Chorus]Let's rock, everybody, let's rockEverybody whole cell blockWas dancing Jailhouse Rock[Outro]Dancing Jailhouse RockDancing Jailhouse RockDancing Jailhouse RockDancing Jailhouse RockDancing Jailhouse Rock"
27,[Instrumental]Tequila[Instrumental]Tequila[Instrumental]TequilaYou might also like
28,"Part I[Intro]WellYou know make wanna (Shout)Kick heels (Shout)Throw hands (Shout)Throw head back (Shout)Come (Shout)[Chorus 1]Don't forget say willDon't forget say yeah, yeah, yeah, yeah, yeah(Say will)Say right now, baby(Say will)Come on, come on(Say will)Say you(Say will)Come now(Say) Say love me(Say) Say need me(Say) Say want me(Say) wanna please me(Say) Come now(Say) Come now(Say) Come nowYou might also like[Verse 1](Say) still remember(Shooby-doo-wop-do-wop-wop-wop-wop)When used nine years old(Shooby-doo-wop-do-wop-wop-wop-wop)Yeah-yeah!I fool you, bottom soul, yeah(Shooby-doo-wop-do-wop-wop-wop-wop)Now grown, up(Shooby-doo-wop-do-wop-wop-wop-wop)Enough know, yeah, yeah(Shooby-doo-wop-do-wop-wop-wop-wop)You wanna leave me, wanna, let go(Shooby-doo-wop-do-wop)[Verse 2]I want knowI said want know right now, yeahYou good babyBetter myself, hey, heyAn ever leave meI want nobody else, hey, heyI said want know-ho-ho-heyI said want know right now, hey, hey[Chorus 2]You know make wanna(Shout-wooo) hey-yeah(Shout-wooo) yeah-yeah-yeah(Shout-wooo) right(Shout-wooo) right(Shout-wooo) come now(Shout) come now(Shout) yeah, yeah, yeah(Shout) yeah, yeah, yeah (Good sound)(Shout) yeah, yeah, yeah (Good sound)(Shout) yeah, yeah, yeah (Good sound)(Shout) all-alright (Good sound)(Shout) all-alright (Good sound)(Shout) all-alright (Good sound)(Shout) all-alright (Aah)Shout!Now wait minute!Part 2[Interlude]I feel alright!(Yeah-Yeah, Yeah-Yeah!)(OOOOOOOOW)Now got womanI feel alright!(Yeah-Yeah, Yeah-Yeah, Yeah-Yeah)Every time think youYou good me[Chorus]You know make wanna(Shout-wooo) lift heels and(Shout-wooo) throw head back and(Shout-wooo) kick heels and(Shout-wooo) come now(Shout-wooo) take easy(Shout-wooo) take easy(Shout-wooo) take easy (Higher)[Bridge](Shout) little bit softer (Wooo)(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit softer now(Shout) little bit louder now(Shout) little bit louder now(Shout) little bit louder (Ooo)(Shout) little bit louder now(Shout) little bit louder now(Shout) little bit louder now(Shout) little bit louder (Wooo)(Shout) little bit louder (Wooo)(Shout) little bit louder (Wooo)(Shout) little bit louder (Wooo)(Shout) little bit louder (Wooo)(Shout) little bit louder now(Shout)[Call & Response]Hey-Hey-A-Hey(Hey-Hey-A-Hey)Hey-A-Hey-A(Hey-A-Hey-A)Hey-A-Hey-A(Hey-A-Hey-A)Hey-A-A-Hey(Hey-A-A-Hey)[Outro]Jump Now!Jump shout (Wooo)Jump shout (Wooo)Jump shout (Wooo)Jump shout (Wooo)Jump shout (Wooo)Everybody shout nowEverybody shout nowEverybody, shout, shoutShout, shout, shoutShout, shout, shoutShout, shout, shoutShout, shout, shout, shout (Oh-whoa-yeah)Shout, shout, shout, shout (Oh yeah)Shout, shout, shout, shoutEverybody shout (Ooo)Shout, shout, shout..."
29,"[Intro]Come on, baby, let's, twistCome on, baby, let's twistTake little hand go like this[Chorus]Ee-yah, twist, baby, baby, twistOoh-ooh-ooh-yeah like thisCome on, little miss, twist[Verse 1]My daddy sleepin', Mama ain't aroundYeah, Daddy's sleepin', Mama ain't aroundWe're gonna twist 'n' twist 'n' twist 'n''Til tear house down[Chorus]Come twist, yeah, baby, twistOoh-ooh-ooh-yeah like thisCome on, little miss, twist, ee-yah[Saxophone Solo][Verse 2]Yeah, see little sisYou see my, little sisShe really knows rockShe knows twistYou might also like[Chorus]Come twist, yeah, baby, twistOoh-ooh-ooh-yeah like thisCome on, little miss, twist[Outro]Yeah, mess 'roundYeah, twist nightTwist"
30,"[Intro][Verse 1]When night comeAnd land darkAnd moon light we'll seeNo, afraidOh, afraidJust long stand, stand me[Chorus]So darlin', darlin', stand meOh, stand meOh, standStand me, stand me[Verse 2]If sky look uponShould tumble fallOr mountains crumble seaI cry, cryNo, shed tearJust long stand, stand me[Chorus]And darlin', darlin', stand meOh, stand meWoah, stand nowStand me, stand meYou might also like[Interlude][Chorus]Darlin', darlin', stand meOh, stand meOh, stand nowStand me, stand meWhenever trouble, stand me?Oh, stand meWoah, stand nowOh, stand, stand"
31,"[Intro][Verse 1]I working lab, late one nightWhen eyes beheld eerie sightFor monster slab, began riseAnd suddenly surprise[Chorus](He mash) monster mash(The monster mash) graveyard smash(He mash) caught flash(He mash) monster mash[Verse 2](Wa-ooh) laboratory castle east(Wa-ooh) master bedroom vampires feast(Wah-wa-ooh) ghouls came humble abodes(Wa-ooh) get jolt electrodes[Chorus](They mash) monster mash(The monster mash) graveyard smash(They mash) caught flash(They mash) monster mashYou might also like[Bridge](Wa-ooh) zombies fun (An-a-shoop)(Ah-ooh) party begun (An-a-shoop)(Ah-ooh) guests included Wolfman (An-a-shoop)(Ah-ooh) Dracula, son[Verse 3](Wa-ooh) scene rockin', digging sounds(Wa-ooh) Igor chains, backed baying hounds(Wah-wa-ooh) coffin-bangers arrive(Wa-ooh) vocal group, 'The Crypt-Kicker Five'[Chorus](They played mash) played monster mash(The monster mash) graveyard smash(They played mash) caught flash(They played mash) played monster mash[Verse 4](Wa-ooh) coffin, Drac's voice ring(Wa-ooh) Seems troubled one thing(Wah-wa-ooh) opened lid shook fist, said(Wa-ooh) ""Whatever happened Transylvania Twist?""[Chorus](It's mash) monster mash(The monster mash) graveyard smash(It's mash) caught flash(It's mash) monster mash[Verse 5](Wa-ooh) everything's cool, Drac's part band(Wa-ooh) monster mash hit land(Wah-wa-ooh) you, living, mash meant too(Wa-ooh) get door, tell Boris sent you[Chorus](Then mash) monster mash(The monster mash) graveyard smash(Then mash) catch flash(Then mash) monster mash[Outro (with Pickett providing Igor vocals)](Wa-ooh) Ugh, mash good! (Monster mash!)(Wa-ooh) Easy, Igor, impetuous young boy (Monster mash!)(Wa-ooh) Argh, mash good! Grrr! (Monster mash!)(Wa-ooh, monster mash!)(Wa-ooh, monster mash!)(Wa-ooh, monster mash!)(Wa-ooh, monster mash!)(Wa-ooh, monster mash!)"
