,Bill Number,Title,Summary,Session,Sponsors
10,HB16-1011,Metropolitan District Authority Promote Business Development,The act removes a specified minimum dollar amount of valuation for assessment of commercial property in a metropolitan district that was required for the district's board to provide activities in support of business development within the district.(Note:  This summary applies to this bill as enacted.)Read More,Session:2016 Regular Session,Prime SponsorsRepresentativeEdward VigilSenatorLeroy GarciaSenatorKevin Grantham
11,HB16-1012,Clerk File Copy Of Municipal Election Results With DOLA Department Of Local Affairs,"Previously, a municipal clerk was required to file a copy of each certified statement and determination of municipal election results with the secretary of state. The act instead requires the filing of such results to be made with the division of local government (division) in the department of local affairs. The division must then post the copy on its official website. The act also requires the secretary of state to provide, on his or her official website, a hyperlink to the division's online posting.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeSu RydenSenatorRay Scott
12,HB16-1013,School District Crime Insurance In Lieu Of Bonds,"Current law requires the secretary, assistant secretary, treasurer, and assistant treasurer of a school board and any person authorized by the board to be the custodian of money of the school district to obtain a surety bond before taking office. Additionally, a school board is required to obtain and pay for a surety bond for any person who is likely to have custody of $50 or more of school district money.The act authorizes a school district to purchase crime insurance coverage instead of the bonds.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeAlec GarnettSenatorVicki Marble
13,HB16-1014,SOS Secretary of State Business Intelligence Center,"The act creates the business intelligence center program (program) within the department of state (department). The purpose of the program is to streamline access to public data collected by state agencies and to provide resources to make the data more useful. In operating the program, the department is authorized to assist state agencies in formatting and publishing their public data to a publicly available platform and provide resources to help users effectively use the data. To create those resources, the department may conduct public contests with cash awards and other incentives for the development of application software or other tools to help people effectively use the published public data. The business intelligence center advisory board is created in the department to assist the department in the operation of the program, and the advisory board will sunset in 10 years after a review by the department of regulatory agencies.The department is authorized to solicit, receive, and expend gifts, grants, or donations for direct and indirect costs.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeAngela WilliamsSenatorJack Tate
14,HB16-1015,Contingent Repeal Hlth Ins Laws Aligning With ACA,"In 2013, the general assembly enacted House Bill 13-1266 to align state health insurance laws with the requirements of the federal 'Patient Protection and Affordable Care Act' (ACA). The bill adds an automatic repeal to the following provisions in the state health insurance laws that is triggered if the comparable federal law requirement under the ACA is repealed by congress and approved by the president:The requirement that carriers offer health benefit plans that cover an essential health benefits package with bronze, silver, gold, and platinum levels of coverage;The requirement that dependent coverage under a health plan be available to a child under 26 years of age, regardless of dependency or marital status;The requirement that carriers issue or renew a plan to any eligible individual or small employer that agrees to pay the required premiums;The requirements regarding open and special enrollment periods;The prohibition against discriminating with respect to participation under the plan or coverage by any provider acting within the scope of his or her license;The requirement to offer continuation coverage to an employee who is no longer employed by the employer through whom the employee was covered under a health benefit plan;Fair market standards;Procedures for denial of benefits and internal reviews;The prohibition against preexisting condition exclusions; andThe requirements pertaining to grace periods for a newly insured individual to pay premiums for coverage.(Note:  This summary applies to this bill as introduced.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeGordon Klingenschmitt
15,HB16-1016,Using Multiple Measures Of Student Academic Growth,"The bill creates the student academic growth measures grant program (grant program) to assist school districts, boards of cooperative services, and charter schools (local education providers) in creating and applying multiple measures of student academic growth as supplements to state assessments. Depending on the level of rigor, validity, and reliability, the measures may be used to measure student achievement, teacher effectiveness, or the performance of a school or a local education provider, and other local education providers may choose to use the measures or they may be included in the statewide accountability system. A local education provider, solely or in partnership with other local education providers, may apply to receive a grant by providing specified information, including a plan for building the capacity of educators and administrators concerning multiple measures of student academic growth and for developing and implementing a process for creating and applying multiple measures of student academic growth. The local education provider must also agree to an external evaluation of the success of the plan. The state board of education (state board) must adopt rules for awarding the grants. The state board, taking into account recommendations from the department of education (department), must award the grants taking into account whether the applicant is working alone or with other local education providers, the applicant's intended use of the measures, the quality of the applicant's plan, the applicant's capacity for developing rigorous, valid, and reliable measures, and whether the applicant will contract for assistance in developing the measures. The department must contract with an entity to evaluate the rigor, validity, and reliability of the multiple measures of student academic growth and whether the measures are reliable and appropriate for use by other local education providers or for use in the statewide accountability system.Subject to available appropriations, the department must annually prepare and submit to the education committees of the general assembly a report that includes a summary of the evaluations and a report on implementation of the grant program.The bill creates the student academic growth measures grant program fund (fund) to consist of moneys appropriated or transferred to the fund by the general assembly for the grant program. If the estimated state education fund end-of-year balance for the 2016-17 budget year is greater than $100 million in December 2016, the state treasurer will transfer from the state education fund to the fund the amount that exceeds $100 million, but not more than $10 million. The department is not required to implement the grant program if less than $500,000 is transferred to the fund.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeDave YoungSenatorAndy Kerr
16,HB16-1017,Victim Impact Panel Appearances For DUI,"For a person convicted of a traffic offense involving alcohol or drugs, current law allows the court to require the person to attend and pay up to $25 for one appearance before a victim impact panel. The act specifies that the person must attend in person, increases the $25 appearance fee cap to $50 as of July 1, 2016, and specifies that the fee is adjusted every July 1 thereafter based on the consumer price index.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeDan PabonRepresentativePolly LawrenceSenatorJohn CookeSenatorMichael Johnston
17,HB16-1018,Transportation Advisory Committee Procedures,"The act requires the statewide transportation advisory committee to advise both the transportation commission and the department of transportation, rather than only the department as was previously the case, on the needs of the transportation systems in the state and to review and comment on all regional transportation plans submitted for the transportation planning regions of the state. The act also more precisely specifies the matters on which advice is to be provided to include budgets, transportation improvement programs, transportation plans, and state transportation policies.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeTerri CarverRepresentativeDiane Mitsch BushSenatorNancy Todd
18,HB16-1019,Broadcast Burns Watershed Protection,"The act adds broadcast burning, the method by which fire is applied generally to most or all of an area within well-defined boundaries, to the types of projects and methods for which the state forest service may award grants from the healthy forests and vibrant communities fund and the forest restoration program cash fund to help restore community watersheds.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeKC BeckerSenatorMatt JonesSenatorEllen S. Roberts
19,HB16-1020,No Drones Near Airports Or Jails,"A person commits introducing contraband in the first degree if he or she knowingly and unlawfully operates any unmanned aircraft system (UAS) within 5 miles of a detention facility with the intent to introduce or attempt to introduce a dangerous instrument, alcohol or an alcoholic beverage, a controlled substance, or marijuana or marijuana concentrate into the detention facility.A person shall not operate a UAS:Within 5 miles of an airport unless the person is authorized by the airport's air traffic control tower;In a manner that interferes with the operation of manned aircraft;More than 400 feet above the earth's surface;In a manner that is prohibited by any federal law or rule;In violation of any temporary flight restriction (TFR) or notice to airmen (NOTAM) issued by the federal aviation administration (FAA); orIn the airspace directly above any detention facility.A person who violates any of these prohibitions commits a class 1 misdemeanor. These prohibitions do not apply to the operation of a public UAS operated in compliance with any current and enforceable authorization granted by the FAA.(Note:  This summary applies to this bill as introduced.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativePaul RosenthalSenatorJohn Cooke
20,HB16-1021,Race Info ID Application,The act requires that an application for a driver's license or state identification card include the opportunity for the applicant to self-identify his or her race or ethnicity. The race or ethnicity information will not be printed on the driver's license or identification card but will be included in the information on the stored information magnetic strip on the card. A law enforcement officer will be able to access the information when he or she swipes the driver's license or identification card.(Note:  This summary applies to this bill as enacted.)Read More,Session:2016 Regular Session,Prime SponsorsRepresentativeJoseph SalazarSenatorJessie UlibarriSenatorEllen S. Roberts
21,HB16-1022,Full-day Kindergarten Funding,"Under current law, students who are enrolled in kindergarten are counted as half-day pupils for purposes of school finance. In addition, each school district receives supplemental kindergarten enrollment in the amount of .08 of a full-day pupil for each kindergarten pupil.For the 2016-17 budget year, the bill increases the supplemental kindergarten enrollment so that each school district can count a kindergarten student as a full-day student. Also, during the 2016-17 budget year, a school district can include in its pupil count all students who are eligible for enrollment in kindergarten, regardless of whether they are actually enrolled. A school district that does not actually provide a full-day kindergarten program during the 2016-17 budget year must use the revenues received from the supplemental kindergarten enrollment and all revenues received for students who are not enrolled in kindergarten to expand its kindergarten facilities.For the 2017-18 budget year and budget years thereafter, the bill increases the supplemental kindergarten enrollment so that a school district that provides a full-day kindergarten program can count as a full-day student each student who enrolls in the full-day kindergarten program. All other school districts receive the additional .08 of supplemental kindergarten enrollment for each student enrolled in kindergarten. A school district that counts students for a full day of kindergarten is no longer eligible to receive hold-harmless full-day kindergarten funding.(Note:  This summary applies to this bill as introduced.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJames Wilson
22,HB16-1023,Deadly Force Against An Intruder At A Business,"The bill extends the right to use deadly force against an intruder under certain conditions to include owners, managers, and employees of businesses.(Note:  This summary applies to this bill as introduced.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJustin Everett
23,HB16-1024,Repeal Ammo Magazine Prohibition,"The bill repeals statutory provisions:Prohibiting the possession of large-capacity ammunition magazines; andRequiring each large-capacity magazine that is manufactured in Colorado on or after July 1, 2013, to include a permanent stamp or marking indicating that the magazine was manufactured or assembled after July 1, 2013.(Note:  This summary applies to this bill as introduced.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeLori SaineRepresentativeStephen HumphreySenatorVicki Marble
24,HB16-1025,Renewal Property Casualty Insurance,"In the property and casualty insurance laws, the act adds the term 'admitted company within the same insurance group' to the definitions of 'renewal' or 'to renew' in order to acknowledge that an insurance policy may be subject to renewal by an insurer or an admitted company within the same insurance group as the insurer when a policy is renewed.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJeni James ArndtSenatorJack Tate
25,HB16-1026,Repeal DOR Department of Revenue Revenue Impact Accounting Requirements,The act repeals accounting requirements that were placed on the department of revenue in 2010 for revenue applicable to a certain group of bills enacted in 2010.(Note:  This summary applies to this bill as enacted.)Read More,Session:2016 Regular Session,Prime SponsorsRepresentativeDan ThurlowRepresentativeTracy Kraft-TharpSenatorChris Holbert
26,HB16-1027,Criminal Deposition For At-risk Persons,"Under current law, the prosecution may request to take the deposition of an at-risk adult victim or witness if the victim or witness may be unavailable at trial. The act allows the prosecution to make the request for both at-risk adults and at-risk elders. If the motion relates to an at-risk elder victim, the court shall schedule the deposition. If the motion relates to an at-risk adult or an at-risk elder witness, there is a rebuttable presumption that the deposition should be taken to prevent injustice. The court may deny the motion if it finds that granting the motion will not prevent injustice. Under current law, the motion must be filed at least 3 days prior to taking the deposition. The act changes the timing to at least 14 days prior to taking the deposition unless good cause is shown for a shorter period of time. The act requires the parties to provide all available discovery at least 5 days prior to the deposition. If the discovery is not provided, either party can motion the court to reschedule the deposition until a time when the discovery can be provided.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJessie DanielsonSenatorNancy ToddSenatorJerry Sonnenberg
27,HB16-1028,FPPA Fire and Police Pension Association Statewide Death & Disability Plan Modifications,"If a member of the fire and police pension association (FPPA) has a temporary disability and returns to work or retires and receives contributions to the member's normal retirement plan for the member's time on temporary disability, the amount of the contribution to the member's normal retirement plan will be an amount that is equal to the employer and employee contribution rate to the member's normal retirement plan at the time of disability, rather than 16% of the member's monthly base salary. The amount of the contribution for the time the member was on temporary disability will not exceed 16% of the member's monthly base salary.A newly hired FPPA member is required to complete a statewide standard health history form and submit it to the FPPA within 30 days of the newly hired member's first day of employment.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeKevin Van WinkleSenatorJohn Cooke
28,HB16-1029,Kei Vehicle Roadway Registration For Use,"The bill authorizes a person to drive a kei vehicle on a roadway if it is registered with the division of motor vehicles. A person must be licensed to drive a kei vehicle. The registration costs $15, specific ownership tax is $3, and the kei vehicle is issued a license plate. Kei vehicles must follow the rules of the road and cannot be driven on limited-access highways or roads with a speed limit that is greater than 55 miles per hour. Kei vehicles must have insurance. To be used on the road, a kei vehicle must have, in good working order:Brakes;Headlamps and tail lights;Turn signals;A windshield and windshield wipers;Rear-view mirrors; andSeatbelts.The bill provides for titling kei vehicles as off-highway vehicles. The bill also clarifies that a dealer in kei vehicles has to be licensed, but current dealers are exempt.(Note:  This summary applies to this bill as introduced.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJon BeckerSenatorJohn Cooke
29,HB16-1030,Off-highway Vehicles Regulation And Local Government,The act clarifies that local authorities may require drivers of off-highway vehicles to have driver's licenses and insurance. The act also authorizes people to cross a state highway within a municipality and requires the municipality to get approval from the Colorado department of transportation.(Note:  This summary applies to this bill as enacted.)Read More,Session:2016 Regular Session,Prime SponsorsRepresentativeJ. Paul BrownRepresentativeLois CourtSenatorKerry Donovan
30,HB16-1031,Modify Transportation Commission Membership,"Transportation commission members are appointed from 11 statutorily defined transportation commission districts (districts), and the general assembly has not modified the number or boundaries of the districts since 1991. The act requires the legislative council staff, with the cooperation of the department of transportation, to prepare and present to the transportation legislation review committee a research study of the districts. The study must document changes since the last time the general assembly modified the number and boundaries of the commission districts, including changes in population, number of lane miles, and annual vehicle miles traveled for each of the districts and must take into account existing county and municipal boundaries, regional transportation authorities and districts, and transportation planning regions.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeTerri CarverSenatorJohn Cooke
31,HB16-1032,Changes To Contents Of Criminal Summons,"When a peace officer issues a person a summons for a criminal violation, current law requires that the summons contain a place for the person to execute a promise to appear. The act  removes the requirement for a place for the defendant to execute a promise to appear.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeSusan LontineSenatorNancy ToddSenatorJohn Cooke
32,HB16-1033,Travel Costs & Members Human Trafficking Council,"The act states that members of the Colorado human trafficking council may be reimbursed for actual travel expenses incurred in the performance of their duties. The act also adds a new member representing the judiciary branch, to be appointed by the chief justice of the supreme court.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeElizabeth McCannRepresentativeDan NordbergSenatorJohn KefalasSenatorLinda Newell
33,HB16-1034,Emergency Medical Responder Registration Program,"The act changes the name of first responders to emergency medical responders and transfers the registration program for the emergency medical responders from the department of public safety to the department of public health and environment (department). The act requires the department to administer the registration program beginning July 1, 2017, and authorizes the department to promulgate rules to administer the program.The department is authorized to grant a provisional registration for up to 90 days prior to an applicant receiving registration. The department is also authorized to promulgate rules concerning the recognition of training programs and continued competency requirements for emergency medical responders. The department is authorized to investigate complaints against emergency medical responders and to take disciplinary action against emergency medical responders.$24,985 is appropriated to the department from the emergency medical services account in the highway users tax fund to implement the act.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeLang SiasSenatorLeroy Garcia
34,HB16-1035,PUC Approval Of Securities Only For Gas & Electric,"The act specifies that the statute requiring advance approval by the public utilities commission for the issuance of securities to fund property acquisitions, facilities, repairs, service improvement or maintenance, and other expenditures applies only to electric and gas utilities.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeTimothy LeonardSenatorRay Scott
35,HB16-1036,History And Culture In Civil Government,"The bill mandates funding instruction in public schools of history and civil government of the United States and Colorado, including but not limited to the history, culture, and contributions of the American Indians, Hispanic Americans, African Americans, and Asian Americans.Current law requires school districts to convene community forums to discuss the content standards in history and civil government at least once every 3 years. The bill requires the forums to be held at least every 2 years.The history, culture, and civil government in education commission is established to make recommendations to the state board of education when the state board performs the scheduled review of education standards in 2018 so those standards and programs accurately reflect the history, culture, and civil government of the United States and Colorado, including the contributions and influence of American Indians, Hispanic Americans, African Americans, and Asian Americans.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJoseph SalazarSenatorJessie Ulibarri
36,HB16-1037,Income Tax Credit Employment Of Persons With Disabilities,"The bill creates an income tax credit with 2 different incentives for employers in order to encourage the employment of persons with disabilities who are determined to be qualified employees, as defined in the bill. First, it would provide a credit for a certain percentage of the qualified employee's gross wages for a limited period of time. Second, it would provide a 3-year credit for a portion of the annual costs the employer incurs for the maintenance, repair, or upgrade of assistive hardware or software technology that is specifically designed for use by the qualified employee in order for the qualified employee to perform his or her job.(Note:  This summary applies to this bill as introduced and does not reflect any amendments that were subsequently adopted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJoAnn WindholzSenatorIrene Aguilar
37,HB16-1038,County Sheriff Optional Affiliation With FPPA Fire and Police Pension Association,County sheriff departments that do not participate in social security are allowed to affiliate with the fire and police pension association.(Note:  This summary applies to this bill as enacted.)Read More,Session:2016 Regular Session,Prime SponsorsRepresentativeJovan MeltonRepresentativeJoseph SalazarSenatorMatt Jones
38,HB16-1039,Interstate 70 Motor Vehicle Traction Equipment,"Currently, a person is required to use certain traction control equipment, such as chains or snow-rated tires, when the Colorado department of transportation restricts road use due to a winter storm. The bill broadens this law to require the traction equipment to be carried on I-70 between milepost 133 (Dotsero) and milepost 259 (Morrison) between October 1 to May 15 of each year. The bill also requires that this traction control equipment be used when icy or snowy conditions are present.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeDiane Mitsch BushRepresentativeBob RankinSenatorNancy ToddSenatorKerry Donovan
39,HB16-1040,Auxiliary Emergency Communications,"The act creates the auxiliary emergency communications unit (unit) within the office of emergency management (office) within the division of homeland security and emergency management in the department of public safety. The unit is in the charge of the director of the office. The unit's powers and duties, and the powers and duties of the director of the office in connection with the powers and duties of the unit, are specified.Statutory provisions governing compensation benefits to volunteer civil defense workers are modified. Specifically:The definition of 'emergency volunteer service' is expanded to include activities undertaken during a training exercise, drill, or class conducted in preparation for a disaster if the exercise, drill, or class is organized or under the direction of the county sheriff, local government, local emergency planning committee, or state agency;Any credentialed member of the unit is a qualified volunteer and is eligible to receive accompanying protections and benefits under existing statutory provisions;The activities for which a qualified volunteer may be called to service is expanded to include a training exercise, drill, or class conducted in preparation for a disaster if the exercise, drill, or class is organized or under the direction of the county sheriff, local government, local emergency planning committee, or state agency. The statutory provisions protecting qualified volunteers do not apply to a training exercise, drill, or class without the express prior consent and approval of the volunteer's employer. Parallel language is added to the statute to assist a volunteer in obtaining proof of service to provide to his or her employer.The process used to verify that a qualified volunteer provided volunteer services is modified to include volunteer service provided during an organized training exercise, drill, or class.For the 2016-17 state fiscal year, the act appropriates $60,238 to the department of public safety from the general fund for use by the office of emergency management. To implement the act, the office may use the appropriation for program administration.(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeJonathan SingerSenatorChris Holbert
40,HB16-1041,Repeal Bonding Requirement Marijuana Businesses,"The act:Declares that, because bonds for medical marijuana businesses and retail marijuana establishments are unavailable in the current marketplace, the requirement to post a bond for the issuance or renewal of a state-issued license makes the operation of medical marijuana businesses and retail marijuana establishments unreasonably impracticable, a result prohibited by Colorado's constitution (section 1 of the act);Repeals the requirement that medical marijuana businesses (sections 2 and 3) and retail marijuana establishments (sections 4 and 5) post a bond to be eligible for the issuance or renewal of a license; andRepeals the requirement that retail marijuana cultivation facilities file a state tax surety bond (section 6).(Note:  This summary applies to this bill as enacted.)Read More",Session:2016 Regular Session,Prime SponsorsRepresentativeSteve LebsockSenatorChris Holbert
