,Bill Number,Title,Link,Description,Last Action,Governor Signed,Sponsors,Subjects,Session,Types,Last Action Date
23,HB16-1024,Repeal Ammo Magazine Prohibition,/bills/hb16-1024,Concerning the repeal of certain provisions concerning ammunition magazines.,"Last Action:03/7/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. L. Saine, Rep. S. Humphrey, Sen. V. Marble","Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-03-07
24,HB16-1025,Renewal Property Casualty Insurance,/bills/hb16-1025,Concerning statutory recognition that an insurance policy may be subject to renewal by an admitted insurer within the same insurance group as the insurer that issued the insurance policy.,Last Action:03/16/2016 | Governor Signed,1,"Rep. J. Arndt, Sen. J. Tate",Insurance,2016 Regular Session,Type:Bill,2016-03-16
25,HB16-1026,Repeal DOR Department of Revenue Revenue Impact Accounting Requirements,/bills/hb16-1026,Concerning the repeal of the department of revenue's revenue impact accounting requirements related to a group of bills enacted in 2010.,Last Action:03/22/2016 | Governor Signed,1,"Rep. D. Thurlow, Rep. T. Kraft-Tharp, Sen. C. Holbert",Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-03-22
26,HB16-1027,Criminal Deposition For At-risk Persons,/bills/hb16-1027,Concerning depositions in criminal cases in which an at-risk person may not be available for trial.,Last Action:05/19/2016 | Governor Signed,1,"Rep. J. Danielson, Sen. N. Todd, Sen. J. Sonnenberg","Courts & JudicialCrimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-05-19
27,HB16-1028,FPPA Fire and Police Pension Association Statewide Death & Disability Plan Modifications,/bills/hb16-1028,Concerning modifications to the statewide death and disability plan administered by the fire and police pension association.,Last Action:03/18/2016 | Governor Signed,1,"Rep. K. Van Winkle, Sen. J. Cooke",Local Government,2016 Regular Session,Type:Bill,2016-03-18
28,HB16-1029,Kei Vehicle Roadway Registration For Use,/bills/hb16-1029,Concerning authorization to drive a kei vehicle on public roadways if the kei vehicle is registered with the state.,Last Action:02/3/2016 | House Committee on Transportation & Energy Postpone Indefinitely,0,"Rep. J. Becker, Sen. J. Cooke",Transportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-02-03
29,HB16-1030,Off-highway Vehicles Regulation And Local Government,/bills/hb16-1030,Concerning the use of off-highway vehicles.,Last Action:04/12/2016 | Governor Signed,1,"Rep. J. Brown, Rep. L. Court, Sen. K. Donovan",Natural Resources & EnvironmentTransportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-04-12
30,HB16-1031,Modify Transportation Commission Membership,/bills/hb16-1031,Concerning a requirement that legislative council staff present a study of the transportation commission districts of the state to the transportation legislation review committee.,Last Action:06/10/2016 | Governor Signed,1,"Rep. T. Carver, Sen. J. Cooke",State GovernmentTransportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-06-10
31,HB16-1032,Changes To Contents Of Criminal Summons,/bills/hb16-1032,Concerning changes to the contents of a criminal summons.,Last Action:03/22/2016 | Governor Signed,1,"Rep. S. Lontine, Sen. N. Todd, Sen. J. Cooke","Courts & JudicialCrimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-03-22
32,HB16-1033,Travel Costs & Members Human Trafficking Council,/bills/hb16-1033,Concerning the Colorado human trafficking council.,Last Action:04/1/2016 | Governor Signed,1,"Rep. E. McCann, Rep. D. Nordberg, Sen. J. Kefalas, Sen. L. Newell","Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-04-01
33,HB16-1034,Emergency Medical Responder Registration Program,/bills/hb16-1034,"Concerning emergency medical responder registration in the department of public health and environment, and, in connection therewith, making an appropriation.",Last Action:06/10/2016 | Governor Signed,1,"Rep. L. Sias, Sen. L. Garcia",Public Health,2016 Regular Session,Type:Bill,2016-06-10
34,HB16-1035,PUC Approval Of Securities Only For Gas & Electric,/bills/hb16-1035,"Concerning the scope of statutes making the issuance of securities by a public utility conditional on approval by the Colorado public utilities commission, and, in connection therewith, clarifying that the approval requirement applies only to electric and gas utilities.",Last Action:04/21/2016 | Governor Signed,1,"Rep. T. Leonard, Sen. R. Scott",Business & Economic DevelopmentEnergy,2016 Regular Session,Type:Bill,2016-04-21
35,HB16-1036,History And Culture In Civil Government,/bills/hb16-1036,"Concerning teaching civil government in public schools, including the history, culture, and contributions of American Indians, Hispanic Americans, African Americans, and Asian Americans, and, in connection therewith, making an appropriation.","Last Action:05/5/2016 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. J. Salazar, Sen. J. Ulibarri",Education & School Finance (Pre & K-12),2016 Regular Session,Type:Bill,2016-05-05
36,HB16-1037,Income Tax Credit Employment Of Persons With Disabilities,/bills/hb16-1037,Concerning the creation of an income tax credit to incentivize the employment of persons with disabilities.,Last Action:02/17/2016 | House Committee on Finance Postpone Indefinitely,0,"Rep. J. Windholz, Sen. I. Aguilar",Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-02-17
37,HB16-1038,County Sheriff Optional Affiliation With FPPA Fire and Police Pension Association,/bills/hb16-1038,Concerning optional affiliation with the fire and police pension association by a county sheriff department that does not participate in social security.,Last Action:04/1/2016 | Governor Signed,1,"Rep. J. Melton, Rep. J. Salazar, Sen. M. Jones",Local Government,2016 Regular Session,Type:Bill,2016-04-01
38,HB16-1039,Interstate 70 Motor Vehicle Traction Equipment,/bills/hb16-1039,Concerning a requirement that noncommercial motor vehicles be appropriately equipped when driving on the interstate 70 mountain corridor during winter storm conditions.,Last Action:03/24/2016 | Senate Committee on Transportation Postpone Indefinitely,0,"Rep. D. Mitsch Bush, Rep. B. Rankin, Sen. N. Todd, Sen. K. Donovan",Transportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-03-24
39,HB16-1040,Auxiliary Emergency Communications,/bills/hb16-1040,"Concerning auxiliary emergency communications in the state, and, in connection therewith, establishing the auxiliary emergency communications unit in the office of emergency management in the department of public safety, and making an appropriation.",Last Action:06/6/2016 | Governor Signed,1,"Rep. J. Singer, Sen. C. Holbert",State Government,2016 Regular Session,Type:Bill,2016-06-06
40,HB16-1041,Repeal Bonding Requirement Marijuana Businesses,/bills/hb16-1041,Concerning the removal of unreasonably impracticable financial requirements applicable to marijuana businesses that are required to be licensed.,Last Action:03/11/2016 | Governor Signed,1,"Rep. S. Lebsock, Sen. C. Holbert","Liquor, Tobacco, & Marijuana",2016 Regular Session,Type:Bill,2016-03-11
41,HB16-1042,Liquor License Exemption Higher Education Brewing Program,/bills/hb16-1042,Concerning an exemption from liquor licensing laws for a brewing program offered by a state institution of higher education.,Last Action:03/18/2016 | Governor Signed,1,"Rep. J. Arndt, Sen. J. Sonnenberg","Higher EducationLiquor, Tobacco, & Marijuana",2016 Regular Session,Type:Bill,2016-03-18
42,HB16-1043,JTC Joint Technology Committee Authority To Approve Requests For Waivers,/bills/hb16-1043,Concerning the joint technology committee's authority to approve the request for a waiver of certain deadlines after moneys for a project have been appropriated.,Last Action:03/18/2016 | Governor Signed,1,"Rep. J. Brown, Sen. R. Baumgardner",Capital ConstructionFiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-03-18
43,HB16-1044,Extend Repeal Dates Petroleum Storage Tank Fund,/bills/hb16-1044,Concerning the extension of dates related to the petroleum storage tank fund.,Last Action:03/2/2016 | Governor Signed,1,"Rep. J. Becker, Sen. O. Hill",Labor & EmploymentNatural Resources & Environment,2016 Regular Session,Type:Bill,2016-03-02
44,HB16-1045,Starting The Child Tax Credit,/bills/hb16-1045,Concerning the start of the child tax credit.,Last Action:03/2/2016 | House Committee on Finance Postpone Indefinitely,0,"Rep. J. Singer, Sen. M. Merrifield, Sen. J. Kefalas",Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-03-02
45,HB16-1046,Designated Emergency Response Authorities,/bills/hb16-1046,Concerning the response to hazardous substance incidents under designated emergency response authority responsibility.,Last Action:03/31/2016 | Governor Signed,1,"Rep. T. Kraft-Tharp, Sen. R. Baumgardner",Natural Resources & Environment,2016 Regular Session,Type:Bill,2016-03-31
46,HB16-1047,Interstate Medical Licensure Compact,/bills/hb16-1047,"Concerning the adoption of an interstate compact to allow physicians to become licensed in multiple states through an expedited licensure process, and, in connection therewith, making an appropriation.",Last Action:06/8/2016 | Governor Signed,1,"Rep. P. Buck, Rep. F. Winter, Sen. L. Newell, Sen. E. Roberts",Health Care & Health Insurance,2016 Regular Session,Type:Bill,2016-06-08
47,HB16-1048,Expand Scope Business Enterprise Program,/bills/hb16-1048,Concerning modifications to the business enterprise program to be administered by the department of labor and employment under its authority to administer vocational rehabilitation programs.,Last Action:05/4/2016 | Governor Signed,1,"Rep. D. Primavera, Sen. K. Lundberg",Business & Economic DevelopmentHuman ServicesLabor & Employment,2016 Regular Session,Type:Bill,2016-05-04
48,HB16-1049,Crowdfunding Escrow In Depository Institution,/bills/hb16-1049,Concerning an escrow account held by a depository institution on behalf of an issuer of an intrastate offering of securities.,Last Action:03/9/2016 | Governor Signed,1,"Rep. P. Lee, Sen. M. Scheffel, Sen. O. Hill",Financial Services & Commerce,2016 Regular Session,Type:Bill,2016-03-09
49,HB16-1050,Low-income Parents Education Child Care,/bills/hb16-1050,"Concerning a task force to address the child care needs of low-income parents of young children as the parents seek to advance their education, and, in connection therewith, making an appropriation.","Last Action:04/27/2016 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. B. Pettersen, Sen. M. Merrifield",Higher EducationHuman ServicesLabor & Employment,2016 Regular Session,Type:Bill,2016-04-27
50,HB16-1051,Forms To Transfer Vehicle Ownership Upon Death,/bills/hb16-1051,Concerning the issuance of beneficiary designation forms to facilitate the transfer of ownership of a vehicle upon the death of an owner.,Last Action:03/23/2016 | Governor Signed,1,"Rep. K. Van Winkle, Sen. C. Holbert",Transportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-03-23
51,HB16-1052,Wildfire Mitigation Income Tax Credit,/bills/hb16-1052,Concerning changing the wildfire mitigation income tax deduction to the wildfire mitigation income tax credit.,Last Action:01/20/2016 | House Committee on Finance Postpone Indefinitely,0,Rep. K. Becker,Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-01-20
52,HB16-1053,Retail Hydrogen Fuel Systems Regulation,/bills/hb16-1053,Concerning the regulation of retail hydrogen fuel systems for vehicles.,Last Action:03/9/2016 | Governor Signed,1,"Rep. T. Kraft-Tharp, Sen. O. Hill",EnergyTransportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-03-09
53,HB16-1054,End-of-life Options For Terminally Ill Individuals,/bills/hb16-1054,Concerning end-of-life options for individuals with a terminal illness.,Last Action:02/24/2016 | House Second Reading Laid Over to 6/1/2016 - No Amendments,0,"Rep. L. Court, Rep. J. Ginal, Sen. M. Merrifield",Health Care & Health InsurancePublic Health,2016 Regular Session,Type:Bill,2016-02-24
54,HB16-1055,No State Prerequisites To Sue United States Federal Torts,/bills/hb16-1055,Concerning the ability of Coloradans to sue the United States for its tortious conduct.,"Last Action:01/27/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. D. Coram,Courts & Judicial,2016 Regular Session,Type:Bill,2016-01-27
55,HB16-1056,Tow Operator Abandoned Vehicle Title Search,/bills/hb16-1056,"Concerning a requirement that the holder of an abandoned motor vehicle use the records of a national title search to notify persons with an interest in the motor vehicle that the vehicle has been towed and is subject to sale, and, in connection therewith, making an appropriation.",Last Action:06/10/2016 | Governor Signed,1,"Rep. M. Tyler, Sen. R. Baumgardner, Sen. N. Todd",Transportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-06-10
56,HB16-1057,Seven Day Court Time Intervals,/bills/hb16-1057,Concerning statutorily established time periods that are multiples of seven days.,Last Action:03/18/2016 | Governor Signed,1,"Rep. K. Ransom, Sen. M. Merrifield",Courts & Judicial,2016 Regular Session,Type:Bill,2016-03-18
57,HB16-1058,Misuse Of Electronic Images By A Juvenile,/bills/hb16-1058,Concerning creating the crime of misuse of electronic images by a juvenile.,Last Action:04/25/2016 | House Committee on Public Health Care & Human Services Postpone Indefinitely,0,"Rep. Y. Willett, Rep. R. Fields, Sen. L. Newell, Sen. J. Cooke","Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-04-25
58,HB16-1059,Retaliation Against A Judge,/bills/hb16-1059,"Concerning the definition of ""judge"" for the crime of retaliation against a judge, and, in connection therewith, making an appropriation.",Last Action:04/27/2016 | Senate Committee on Appropriations Postpone Indefinitely,0,"Rep. P. Lawrence, Sen. N. Todd","Courts & JudicialCrimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-04-27
59,HB16-1060,Colorado State Patrol Roadside Memorials,/bills/hb16-1060,Concerning roadside memorials for fallen state patrol officers.,Last Action:04/21/2016 | Governor Signed,1,"Rep. M. Tyler, Sen. R. Baumgardner",Transportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-04-21
60,HB16-1061,Military Installation Transportation Needs Planning,/bills/hb16-1061,Concerning a requirement that the transportation infrastructure needs of federal military installations be given full consideration during the preparation of the comprehensive statewide transportation plan.,Last Action:03/31/2016 | Governor Signed,1,"Rep. T. Carver, Rep. D. Nordberg, Sen. N. Todd",Military & VeteransTransportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-03-31
61,HB16-1062,Limitation On Mental Health Disciplinary Actions,/bills/hb16-1062,Concerning a limitation on when certain disciplinary actions may be commenced against a mental health professional.,Last Action:02/2/2016 | House Committee on Judiciary Postpone Indefinitely,0,Rep. J. Melton,Business & Economic Development,2016 Regular Session,Type:Bill,2016-02-02
62,HB16-1063,Mental Hlth Professional Disclosure School Safety,/bills/hb16-1063,Concerning an exception to the prohibition against disclosing confidential communications with a mental health professional when school safety is at risk.,Last Action:05/18/2016 | Governor Signed,1,"Rep. M. Foote, Rep. C. Duran, Sen. M. Scheffel, Sen. B. Cadman",Civil LawEducation & School Finance (Pre & K-12)Health Care & Health InsuranceHigher Education,2016 Regular Session,Type:Bill,2016-05-18
63,HB16-1064,Medical Marijuana Testing Facility Local Licensing,/bills/hb16-1064,Concerning local licensing of medical marijuana testing facilities.,Last Action:03/23/2016 | Governor Signed,1,"Rep. J. Brown, Sen. E. Roberts","Liquor, Tobacco, & Marijuana",2016 Regular Session,Type:Bill,2016-03-23
64,HB16-1065,Income Tax Credit For Home Health Care,/bills/hb16-1065,Concerning the creation of an income tax credit for home health care.,Last Action:02/24/2016 | House Committee on Finance Postpone Indefinitely,0,Rep. K. Conti,Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-02-24
65,HB16-1066,Habitual Domestic Violence Offenders,/bills/hb16-1066,Concerning an habitual domestic violence offender.,Last Action:04/15/2016 | Governor Signed,1,"Rep. C. Roupe, Sen. L. Newell","Crimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-04-15
66,HB16-1067,Regional Transportation Authority Mill Levy,/bills/hb16-1067,Concerning extension of the authorization for a regional transportation authority to impose a uniform mill levy on all taxable property within its territory.,Last Action:03/8/2016 | Senate Committee on Transportation Postpone Indefinitely,0,"Rep. D. Mitsch Bush, Sen. K. Donovan",Fiscal Policy & TaxesLocal GovernmentTransportation & Motor Vehicles,2016 Regular Session,Type:Bill,2016-03-08
67,HB16-1068,Regulation Of Methadone Treatment Facilities,/bills/hb16-1068,Concerning the regulation of methadone treatment facilities.,"Last Action:01/27/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. P. Lundeen, Sen. K. Lambert",Human Services,2016 Regular Session,Type:Bill,2016-01-27
68,HB16-1069,Allow City To Set Housing Authority Commission Term Length,/bills/hb16-1069,Concerning the ability of a city's governing body to determine the length of terms for its housing authority commissioners.,Last Action:03/9/2016 | Governor Signed,1,"Rep. B. Rankin, Rep. D. Moreno, Sen. K. Grantham",Local Government,2016 Regular Session,Type:Bill,2016-03-09
69,HB16-1070,Signature Verification In Municipal Mail Ballot Election,/bills/hb16-1070,"Concerning a signature verification requirement for municipal mail ballot elections, and, in connection therewith, making an appropriation.",Last Action:04/22/2016 | Governor Signed,1,"Rep. P. Neville, Sen. T. Neville",Elections & RedistrictingLocal Government,2016 Regular Session,Type:Bill,2016-04-22
70,HB16-1071,County Initiative Powers,/bills/hb16-1071,Concerning initiative powers granted to the registered electors of county governments.,"Last Action:02/1/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. J. Windholz,Elections & RedistrictingLocal Government,2016 Regular Session,Type:Bill,2016-02-01
71,HB16-1072,No Statute Limitations Sexual Assault,/bills/hb16-1072,Concerning the elimination of the statute of limitations for a sexual assault.,Last Action:02/11/2016 | House Committee on Judiciary Postpone Indefinitely,0,"Rep. R. Fields, Sen. J. Cooke","Capital ConstructionCrimes, Corrections, & Enforcement",2016 Regular Session,Type:Bill,2016-02-11
72,HB16-1073,Electrical Industry Safety And Training Act,/bills/hb16-1073,Concerning the qualifications of licensed electricians.,Last Action:04/15/2016 | Governor Signed,1,"Rep. C. Duran, Rep. B. DelGrosso, Sen. L. Guzman, Sen. M. Scheffel","Business & Economic DevelopmentGaming, Lottery, & Racing",2016 Regular Session,Type:Bill,2016-04-15
73,HB16-1074,Limited Gaming Revenue For Online Supplemental Education,/bills/hb16-1074,Concerning the reallocation of limited gaming revenue to increase funding for supplemental online education courses in public schools.,"Last Action:01/27/2016 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. T. Dore, Sen. O. Hill","Education & School Finance (Pre & K-12)Fiscal Policy & TaxesGaming, Lottery, & Racing",2016 Regular Session,Type:Bill,2016-01-27
74,HB16-1075,Reestablish Alzheimer's Association Tax Check-off,/bills/hb16-1075,Concerning reestablishment of the voluntary contribution designation benefiting the Alzheimer's Association fund that appears on the state individual income tax return forms.,Last Action:04/7/2016 | House Committee on Finance Postpone Indefinitely,0,"Rep. D. Primavera, Rep. L. Landgraf, Sen. M. Johnston, Sen. B. Martinez Humenik",Fiscal Policy & Taxes,2016 Regular Session,Type:Bill,2016-04-07
75,HB16-1076,Retired Architects,/bills/hb16-1076,Concerning the status of a retired architect.,Last Action:03/16/2016 | Governor Signed,1,"Rep. M. Hamner, Sen. J. Tate",Labor & Employment,2016 Regular Session,Type:Bill,2016-03-16
76,HB16-1077,Recreate Statutory Revision Committee,/bills/hb16-1077,"Concerning the recreation of the statutory revision committee, and, in connection therewith, making an appropriation.",Last Action:06/10/2016 | Governor Signed,1,"Rep. D. Moreno, Sen. B. Martinez Humenik",State Government,2016 Regular Session,Type:Bill,2016-06-10
77,HB16-1078,Local Government Employee Whistleblower Protection,/bills/hb16-1078,Concerning the establishment of whistleblower protection for public employees not employed by the state.,"Last Action:04/27/2016 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. D. Kagan, Sen. M. Hodge",Local Government,2016 Regular Session,Type:Bill,2016-04-27
78,HB16-1079,Pesticide-free Cannabis Certification Program,/bills/hb16-1079,"Concerning a certification program for cannabis that is pesticide-free, and, in connection therewith, making an appropriation.","Last Action:05/3/2016 | Senate Committee on Business, Labor, & Technology Postpone Indefinitely",0,"Rep. K. Becker, Rep. J. Singer, Sen. P. Steadman","Liquor, Tobacco, & Marijuana",2016 Regular Session,Type:Bill,2016-05-03
